id,Name,Date (UTC),Description,Url,Tax Code,type (metadata),data (metadata),country (metadata),continent (metadata),validity (metadata)
prod_SQXIC5Iyi58Ro6,Bermuda,2025-06-02 21:48,eSIM data plans for Bermuda,,,eSIM,,Bermuda,Other,
prod_SQXI4fSlIDdLGf,Benin,2025-06-02 21:48,eSIM data plans for Benin,,,eSIM,,Benin,Other,
prod_SQXIVdTm012lgG,Belize,2025-06-02 21:48,eSIM data plans for Belize,,,eSIM,,Belize,Other,
prod_SQXHLJNqt5k5ei,Belgium,2025-06-02 21:48,eSIM data plans for Belgium,,,eSIM,,Belgium,Other,
prod_SQXHORcrtlPZGS,Barbados,2025-06-02 21:48,eSIM data plans for Barbados,,,eSIM,,Barbados,Other,
prod_SQXHYmCK7uqeBf,Bangladesh,2025-06-02 21:47,eSIM data plans for Bangladesh,,,eSIM,,Bangladesh,Other,
prod_SQXHNvuds4iFUX,Bahrain,2025-06-02 21:47,eSIM data plans for Bahrain,,,eSIM,,Bahrain,Other,
prod_SQXH0D8m8LJwfi,Bahamas,2025-06-02 21:47,eSIM data plans for Bahamas,,,eSIM,,Bahamas,Other,
prod_SQXHeAcx3FcBTY,Aruba,2025-06-02 21:47,eSIM data plans for Aruba,,,eSIM,,Aruba,Other,
prod_SQXHKspgiRkH8P,Antigua and Barbuda,2025-06-02 21:47,eSIM data plans for Antigua and Barbuda,,,eSIM,,Antigua and Barbuda,Other,
prod_SQXH6QLwSpwyXE,Anguilla,2025-06-02 21:47,eSIM data plans for Anguilla,,,eSIM,,Anguilla,Other,
prod_SQXGLaYW3ebFl1,Algeria,2025-06-02 21:47,eSIM data plans for Algeria,,,eSIM,,Algeria,Africa,
prod_SQXGb30Vi7l0qZ,Austria,2025-06-02 21:47,eSIM data plans for Austria,,,eSIM,,Austria,Europe,
prod_SQXGHHSC3yRFVt,Andorra,2025-06-02 21:46,eSIM data plans for Andorra,,,eSIM,,Andorra,Europe,
prod_SQXGUSuIlE7hzX,Albania,2025-06-02 21:46,eSIM data plans for Albania,,,eSIM,,Albania,Europe,
prod_SQXG97xN0PNrMQ,Azerbaijan,2025-06-02 21:46,eSIM data plans for Azerbaijan,,,eSIM,,Azerbaijan,Asia,
prod_SQXGVgIibgRV9E,Armenia,2025-06-02 21:46,eSIM data plans for Armenia,,,eSIM,,Armenia,Asia,
prod_SQXF0CByQ367TA,Afghanistan,2025-06-02 21:46,eSIM data plans for Afghanistan,,,eSIM,,Afghanistan,Asia,
